TU_sed_DM_mean,TU_sed_FM_mean,TU_sed_FA_mean
1.0,1.5357142857142858,1.5714285714285714
2.5357142857142856,7.25,1.6071428571428572
8.0,11.857142857142858,5.535714285714286
6.035714285714286,9.892857142857142,3.7142857142857144
8.321428571428571,4.321428571428571,8.25
2.5714285714285716,1.5,3.7857142857142856
9.464285714285714,5.035714285714286,10.285714285714286
6.035714285714286,10.0,6.607142857142857
11.285714285714286,14.357142857142858,13.214285714285714
6.25,8.535714285714286,9.535714285714286
5.214285714285714,3.0,8.678571428571429
28.0,20.714285714285715,18.392857142857142
13.482142857142858,9.303571428571429,11.017857142857142
14.910714285714286,11.553571428571429,12.410714285714286
13.0,9.0,10.464285714285714
16.214285714285715,14.25,18.071428571428573
21.214285714285715,34.0,19.178571428571427
15.892857142857142,17.071428571428573,21.464285714285715
15.25,16.75,14.428571428571429
20.678571428571427,19.107142857142858,18.321428571428573
23.785714285714285,21.178571428571427,22.357142857142858
22.892857142857142,23.821428571428573,23.857142857142858
29.035714285714285,25.428571428571427,27.392857142857142
27.607142857142858,24.464285714285715,28.642857142857142
33.857142857142854,31.678571428571427,34.214285714285715
19.75,21.75,19.571428571428573
19.892857142857142,22.0,20.571428571428573
24.678571428571427,25.5,26.214285714285715
23.285714285714285,25.214285714285715,25.428571428571427
24.0,23.5,25.785714285714285
31.142857142857142,30.892857142857142,29.321428571428573
27.785714285714285,29.678571428571427,30.821428571428573
30.035714285714285,30.142857142857142,32.07142857142857
32.785714285714285,31.678571428571427,33.892857142857146
34.107142857142854,34.035714285714285,33.32142857142857
