,Flu,Pir,BaA,Kri,BjF,BbF,BkF,BaP,DahA,BghiP,IP,HCB,α-HCH,β-HCH,γ-HCH,DDE,DDD,DDT,PCB-28,PCB-52,PCB-101,PCB-118,PCB-153,PCB-138,PCB-180,PCB-74,PCB-60,PCB-123,PCB-114,PCB-105,PCB-167,PCB-156,PCB-157,PCB-170,PCB-189
Striježevica - Brzaja,1.7808218052599715e-07,1.9062079948238781e-07,1.983009451068806e-08,2.558296140736122e-08,4.196966451239915e-09,8.988951241234513e-09,2.2142463550726404e-09,6.253152917407712e-09,8.433727818715863e-10,3.1564659458341384e-09,2.2465091280368808e-09,1.4442480734757136e-10,4.587930700629426e-09,4.587930700629426e-09,4.587930700629426e-09,7.789681086379335e-11,7.940044120842805e-11,5.876562002301287e-11,4.2786942889638787e-10,1.0331964208073421e-10,1.4730594596478105e-11,1.4485910011525727e-11,2.8863789483569465e-12,2.422439538211296e-12,5.129884162853377e-13,9.620099531645634e-11,7.898585213834808e-11,1.1473022228392422e-11,1.339953300316181e-11,1.2370018056110371e-11,2.472907028590698e-12,2.392163774571723e-12,2.3179292039106267e-12,5.136628464135682e-13,5.174041417690058e-13
Petrinja - Kupa,2.9223742445291838e-06,2.5084981265217515e-06,5.84819736416902e-07,6.32559352217496e-07,1.7837107417769638e-07,3.3618677642217075e-07,1.340470678032437e-07,3.886725360226231e-07,2.7662627245388027e-08,8.710502833503996e-08,1.1751566714592926e-07,1.4442480734757136e-10,4.587930700629426e-09,4.587930700629426e-09,4.587930700629426e-09,7.789681086379335e-11,7.940044120842805e-11,2.938281001150644e-11,4.2786942889638787e-10,1.0331964208073421e-10,1.4730594596478105e-11,1.4485910011525727e-11,2.8863789483569465e-12,2.422439538211296e-12,5.129884162853377e-13,9.620099531645634e-11,7.898585213834808e-11,1.1473022228392422e-11,1.339953300316181e-11,1.2370018056110371e-11,2.472907028590698e-12,2.392163774571723e-12,2.3179292039106267e-12,5.136628464135682e-13,5.174041417690058e-13
Sisak - Kupa,2.397670261066281e-07,1.9099056235563527e-07,2.6566248608655473e-08,3.2800252335592055e-08,1.3005569691716503e-08,1.1049510505079833e-07,9.041590943214628e-09,2.4555092434842972e-08,8.711485321727461e-10,7.787611548105248e-09,1.0339601169511063e-08,1.9458432127666797e-11,3.09067187916653e-09,2.0604479194443535e-09,2.4725375033332242e-09,9.095735400263298e-11,5.3488321173342264e-11,2.2432983691419585e-10,1.0184317244689473e-09,8.816197003894985e-11,3.373923612666392e-11,2.797428729770687e-11,1.5166452258582157e-11,1.3925400938220622e-11,2.303840192898224e-13,1.2961211943833939e-11,8.158718259799428e-11,1.4427153700373708e-11,9.628406948379745e-12,1.3332953593412375e-11,8.884695911104302e-13,4.2973001938414187e-13,2.0819723388418802e-13,1.614808349503733e-13,6.971013886109358e-14
Sisak - Sava,2.8468242285484574e-07,3.199793445856727e-07,3.1165942066104493e-08,4.1187817632379204e-08,2.098483225619958e-08,1.0617362904109392e-07,1.1009294814382147e-08,1.9558867505869008e-08,3.404159228645312e-09,9.908983036922258e-09,1.3436800678038774e-08,3.93885838220649e-11,6.256269137221944e-09,1.2512538274443888e-09,5.630642223499749e-09,1.380898010767246e-10,2.273739907332258e-10,6.410794911601404e-11,1.166916624262876e-10,9.862329471342811e-11,2.2095891894717156e-11,3.950702730416108e-12,3.935971293214018e-12,5.615655293126185e-12,4.1971779514254906e-13,2.6236635086306275e-11,2.1541596037731295e-11,0.0,3.654418091771403e-12,3.3736412880301013e-12,6.744291896156448e-13,6.524083021559244e-13,6.321625101574436e-13,1.400898672037004e-13,1.411102204824561e-13
Zagreb - Sava,4.566970792036363e-06,3.969775100331573e-06,9.732991302915395e-07,1.5841492366090475e-06,2.588129311597948e-07,7.58613006267822e-07,2.8345192122308094e-07,7.352339953670786e-07,3.661643494625804e-08,1.7673970668340797e-07,2.2645844888371774e-07,4.814160244919045e-10,3.632111804664962e-08,2.1028015711218202e-08,4.014439363050747e-08,6.815970950581919e-10,7.940044120842807e-10,1.958854000767096e-09,2.8524628593092527e-09,8.609970173394518e-11,7.365297298239052e-11,5.432216254322148e-11,3.728239474961056e-11,2.4224395382112958e-11,5.5573745097578276e-12,8.016749609704696e-11,6.582154344862341e-11,1.6253448156889267e-10,3.908197125922196e-11,7.215843866064384e-11,7.212645500056202e-12,1.9934698121431025e-12,1.9316076699255224e-12,4.280523720113069e-13,4.311701181408381e-13
Prošćansko - Plitvice,5.916568773177214e-08,4.688281394304605e-08,9.551076097260962e-09,1.2845391953201712e-08,5.6614230238930386e-09,1.2239181897898337e-08,3.594833664980706e-09,9.102815255083146e-09,8.423132683265213e-10,4.609155742032476e-09,5.976352692459922e-09,5.443146005561734e-12,3.4582392215799695e-10,1.7291196107899848e-10,6.051918637764947e-10,2.9358094546655792e-12,2.992478940016133e-12,3.266807394495376e-11,1.6125732244838736e-11,3.8939563598266666e-12,5.551731631838481e-13,5.459513823439344e-13,1.0878312619435726e-13,9.129797254565184e-14,1.9333734282110725e-14,3.625665652630264e-12,2.9768537238070887e-12,4.324003352409204e-13,5.050075252447918e-13,4.66206710657426e-13,9.320001364035293e-14,9.015692617732625e-14,8.735914085090303e-14,1.935915250302393e-14,1.9500156096821824e-14
Slapić - Mrežnica,1.2785387319815179e-08,1.285877891245166e-08,1.521309659160725e-09,3.865676681248129e-09,1.086057107996294e-09,1.3023226965769428e-08,6.90271130933576e-10,1.4912946924738784e-09,1.8199096871965807e-10,8.872037540922382e-10,1.080444498965106e-09,7.601305649872176e-12,8.451451290633155e-10,4.829400737504659e-10,3.6220505531284946e-10,4.0998321507259664e-12,1.2536911769751802e-11,1.5464636848161285e-12,7.881805269143988e-11,5.437875898986011e-12,7.75294452446216e-13,7.62416316396091e-13,1.5191468149247086e-13,1.274968178005945e-13,2.6999390330807257e-14,5.0632102798134916e-12,4.157150112544636e-12,6.038432751785486e-13,7.052385791137795e-13,6.510535819005458e-13,1.3015300150477355e-13,1.259033565564065e-13,1.2199627389003298e-13,2.70348866533457e-14,2.7231796935210828e-14
Duga Resa - Mrežnica,9.384386269423722e-08,7.297480462112114e-08,1.0969925674791493e-08,1.7449707450415444e-08,5.315736122730073e-09,1.9866271428875136e-08,3.564546727304148e-09,9.690503542187554e-09,5.212653459037636e-10,3.366843066038413e-09,4.082356014139309e-09,5.220173759550771e-12,1.6582882050467807e-10,0.0,1.6582882050467807e-10,1.4077736903095189e-11,7.174738663412175e-12,1.0620292775243291e-12,7.732580040296164e-11,3.7344448944843686e-12,5.324311299931844e-13,5.235871088503276e-13,1.0432694994061252e-13,8.755805559799863e-14,1.854174998621703e-14,3.4771444090285423e-12,2.854910318253545e-12,4.1468755042382255e-13,4.843204699938003e-13,4.4710908636543513e-13,8.938218175629028e-14,8.646375088813457e-14,8.378057363532385e-14,1.8566126978803673e-14,1.870135452177129e-14
Severin - Kupa,7.447910200408543e-08,8.14464535603527e-08,6.566724075964925e-09,3.552418536438272e-08,5.224165173024475e-09,3.4033034645957406e-08,3.2634012214386683e-09,8.350126729258984e-09,6.909987078359635e-10,4.418939452151136e-09,4.4526579066277205e-09,1.5474086501525505e-10,4.337329443872357e-09,2.3132423700652573e-09,5.783105925163144e-09,6.873248017393534e-11,4.503806539133525e-11,3.703715547668879e-12,4.314649703156853e-10,2.6046968591781736e-11,4.641994095528815e-12,2.738932565204445e-12,7.276585584093142e-13,3.053495216232726e-13,6.466240541411823e-14,3.6378527640676766e-11,3.484669947280064e-11,2.16926890872966e-12,1.68901676510443e-12,3.1184919469185817e-12,3.117109699904241e-13,3.015332488955954e-13,2.921759500727681e-13,3.237370880757784e-14,6.521900946668141e-14
Ozalj - Kupa,5.300217306812567e-08,5.143775686967157e-08,5.5127222978389885e-09,1.0759189376927615e-08,3.57918867921161e-09,3.741450478403387e-08,2.3638791066016317e-09,5.752754582311416e-09,4.729193169373382e-10,3.0503926221423576e-09,3.790033930155679e-09,2.0246468319752994e-11,2.5726714209136968e-09,3.859007131370545e-09,3.215839276142121e-09,9.282096621620238e-11,3.339270891943236e-11,4.119085515631743e-12,2.24931358648802e-09,6.517827888270615e-11,4.233325082632726e-11,4.8737641160273475e-11,7.890334975648661e-12,1.3074381619785263e-11,1.0787139594785142e-13,6.068754377440001e-11,1.4948257063565874e-10,1.608367602111087e-12,1.878439206050721e-12,2.601172021144704e-11,3.4666920961551834e-13,5.030250927837735e-13,3.2494334634261117e-13,2.88035240979571e-13,7.253329090219705e-14
Slunj - Korana,7.718517000541071e-09,1.0357604032788642e-08,1.0919091875454149e-09,2.1364516649343743e-09,4.882257927626805e-10,3.998776648154163e-09,2.4641164045126993e-10,9.026600816689431e-10,5.565404144330264e-11,6.272704763294973e-10,5.937736361518799e-10,3.665604247400288e-12,4.657797665613631e-10,1.1644494164034077e-10,1.1644494164034077e-09,1.2850996716108043e-11,6.045718873738178e-12,7.457565992768131e-13,5.429815087517613e-11,2.622325941135386e-12,3.738729593014747e-13,3.676626906478611e-13,7.32583489430697e-14,6.148323701043898e-14,1.3020010565617713e-14,2.4416496273212267e-12,0.0,2.911934575734118e-13,3.4008967013101047e-13,3.139598491398572e-13,6.276413778148978e-14,6.07148166134955e-14,5.883069045458443e-14,1.3037128081562648e-14,1.3132084816472227e-14
Karlovac - Korana,1.1535190579429311e-07,1.063736272973597e-07,1.564618795407883e-08,3.171547329088329e-08,5.752738497820231e-09,1.545310614637306e-08,4.36975938507704e-09,1.1542727314137295e-08,6.892391355295378e-10,3.480681083337278e-09,4.391511303796233e-09,2.241074596772659e-11,3.5596014056607626e-09,9.492270415095367e-10,2.6103743641512257e-09,4.432059928457209e-11,5.338995184704646e-11,3.03960103567308e-12,2.6557412828051664e-10,1.0688238835938022e-11,1.5238546134287694e-12,1.4985424149854202e-12,4.478863885381469e-13,5.011943872161302e-13,5.3067767201931503e-14,9.95182710170238e-12,1.2256425331812636e-11,1.1868643684543885e-12,1.3861585865339805e-12,1.27965704028728e-12,2.558179684748998e-13,2.474652180591438e-13,2.3978577971489245e-13,5.3137535835886384e-14,5.352456638989714e-14
